Title,Price,UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Availability,Number of reviews
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,0e0da9192a025efc,Books,£50.62,£50.62,£0.00,In stock (14 available),0
All the Light We Cannot See,£29.87,39861fc1c0845d15,Books,£29.87,£29.87,£0.00,In stock (14 available),0
Abstract City,£56.37,cf1aa2fc02a7d1e0,Books,£56.37,£56.37,£0.00,In stock (14 available),0
A Time of Torment (Charlie Parker #14),£48.35,4416c474713ec1f5,Books,£48.35,£48.35,£0.00,In stock (14 available),0
The Star-Touched Queen,£32.30,4a7a25be293ad678,Books,£32.30,£32.30,£0.00,In stock (12 available),0
The Silent Sister (Riley MacPherson #1),£46.29,ce1ae197ada2aec4,Books,£46.29,£46.29,£0.00,In stock (12 available),0
The Epidemic (The Program 0.6),£14.44,f732d7d18a91d2ba,Books,£14.44,£14.44,£0.00,In stock (12 available),0
Psycho: Sanitarium (Psycho #1.5),£36.97,b8d7b3f5c7a95d65,Books,£36.97,£36.97,£0.00,In stock (12 available),0
How to Speak Golf: An Illustrated Guide to Links Lingo,£58.32,b978c9852cde91bd,Books,£58.32,£58.32,£0.00,In stock (12 available),0
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,76319fe9d8b465a3,Books,£20.10,£20.10,£0.00,In stock (12 available),0
Eleanor & Park,£56.51,6983328f15506cb9,Books,£56.51,£56.51,£0.00,In stock (12 available),0
"Mother, Can You Not?",£16.89,28b2df9fadc9f07e,Books,£16.89,£16.89,£0.00,In stock (11 available),0
Born for This: How to Find the Work You Were Meant to Do,£21.59,816180220e8cb419,Books,£21.59,£21.59,£0.00,In stock (11 available),0
Adultery,£20.88,bb967277222e689c,Books,£20.88,£20.88,£0.00,In stock (11 available),0
A Gentleman's Position (Society of Gentlemen #3),£14.75,40c4bf520c17de54,Books,£14.75,£14.75,£0.00,In stock (11 available),0
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,96aa539bfd4c07e2,Books,£49.71,£49.71,£0.00,In stock (10 available),0
Without Shame,£48.27,ab60e6f5a63e1cfb,Books,£48.27,£48.27,£0.00,In stock (9 available),0
The New Brand You: Your New Image Makes the Sale for You,£44.05,4b50fb1359ebf35d,Books,£44.05,£44.05,£0.00,In stock (9 available),0
The Art and Science of Low Carbohydrate Living,£52.98,f9c87ccb2bc4853b,Books,£52.98,£52.98,£0.00,In stock (9 available),0
Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,0e095ed785af7e43,Books,£54.81,£54.81,£0.00,In stock (9 available),0
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),£43.62,e0bdd79c7304ee8d,Books,£43.62,£43.62,£0.00,In stock (8 available),0
Smarter Faster Better: The Secrets of Being Productive in Life and Business,£38.89,a2475a245c9907c4,Books,£38.89,£38.89,£0.00,In stock (8 available),0
Shadows of the Past (Logan Point #1),£39.67,bee6e93e9976f4fa,Books,£39.67,£39.67,£0.00,In stock (8 available),0
Roller Girl,£14.10,aeb51dfbe8aeec59,Books,£14.10,£14.10,£0.00,In stock (8 available),0
Out of Print: City Lights Spotlight No. 14,£53.64,c0fc0cd215ee1724,Books,£53.64,£53.64,£0.00,In stock (8 available),0
My Life Next Door (My Life Next Door ),£36.39,9a7291b89bd5445c,Books,£36.39,£36.39,£0.00,In stock (8 available),0
Les Fleurs du Mal,£29.04,c44c5e1425475206,Books,£29.04,£29.04,£0.00,In stock (8 available),0
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05,39eefec3a8498dde,Books,£45.05,£45.05,£0.00,In stock (8 available),0
Future Shock (Future Shock #1),£55.65,df6a7c43faa6732b,Books,£55.65,£55.65,£0.00,In stock (8 available),0
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,f16c2edb2a603f92,Books,£44.48,£44.48,£0.00,In stock (8 available),0
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,9735c969c652dd89,Books,£25.37,£25.37,£0.00,In stock (7 available),0
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,20789fb17b423c4c,Books,£52.30,£52.30,£0.00,In stock (7 available),0
Team of Rivals: The Political Genius of Abraham Lincoln,£20.12,ba047a636b7d3793,Books,£20.12,£20.12,£0.00,In stock (7 available),0
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38,924438fc6cbec836,Books,£11.38,£11.38,£0.00,In stock (7 available),0
Leave This Song Behind: Teen Poetry at Its Best,£51.17,b74ee891e2a6dd69,Books,£51.17,£51.17,£0.00,In stock (7 available),0
King's Folly (The Kinsman Chronicles #1),£39.61,4c82371b8cd02d4d,Books,£39.61,£39.61,£0.00,In stock (7 available),0
Good in Bed (Cannie Shapiro #1),£37.05,c00bc29a678a6efb,Books,£37.05,£37.05,£0.00,In stock (7 available),0
Every Heart a Doorway (Every Heart A Doorway #1),£12.16,4fa75fc6829431ca,Books,£12.16,£12.16,£0.00,In stock (7 available),0
Counted With the Stars (Out from Egypt #1),£17.97,4807043b8218e9ce,Books,£17.97,£17.97,£0.00,In stock (7 available),0
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,6b52904b2ab91bf6,Books,£29.93,£29.93,£0.00,In stock (7 available),0
A Short History of Nearly Everything,£52.40,6c7fa6844380f50a,Books,£52.40,£52.40,£0.00,In stock (7 available),0
The Sound Of Love,£57.84,5ba3d703d1ae0c1d,Books,£57.84,£57.84,£0.00,In stock (6 available),0
The Hobbit (Middle-Earth Universe),£17.80,72b5355dda190b6a,Books,£17.80,£17.80,£0.00,In stock (6 available),0
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,3d250ab0f12be445,Books,£15.42,£15.42,£0.00,In stock (6 available),0
The Barefoot Contessa Cookbook,£59.92,6478ccb4416e6a5d,Books,£59.92,£59.92,£0.00,In stock (6 available),0
How to Stop Worrying and Start Living,£46.49,e792c0969cefe1b8,Books,£46.49,£46.49,£0.00,In stock (6 available),0
The Power Greens Cookbook: 140 Delicious Superfood Recipes,£11.05,f701fae56b645ef7,Books,£11.05,£11.05,£0.00,In stock (5 available),0
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,0d210d2448c3018f,Books,£42.91,£42.91,£0.00,In stock (5 available),0
The False Prince (The Ascendance Trilogy #1),£56.00,a2a9f76339d21ab1,Books,£56.00,£56.00,£0.00,In stock (5 available),0
The Darkest Corners,£11.33,c4182bdb53e2459a,Books,£11.33,£11.33,£0.00,In stock (5 available),0
Siddhartha,£34.22,84bb29c53592ac40,Books,£34.22,£34.22,£0.00,In stock (5 available),0
Shiver (The Wolves of Mercy Falls #1),£16.23,59a8ae019b64f2a7,Books,£16.23,£16.23,£0.00,In stock (5 available),0
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,£24.91,12a90b90283b2e6d,Books,£24.91,£24.91,£0.00,In stock (5 available),0
Kill the Boy Band,£15.52,44f545727e704187,Books,£15.52,£15.52,£0.00,In stock (5 available),0
Isla and the Happily Ever After (Anna and the French Kiss #3),£48.13,45045146dbf7b009,Books,£48.13,£48.13,£0.00,In stock (5 available),0
If I Stay (If I Stay #1),£38.13,7284d85428305f5a,Books,£38.13,£38.13,£0.00,In stock (5 available),0
Dracula the Un-Dead,£35.63,e46b1074b99ac4b6,Books,£35.63,£35.63,£0.00,In stock (5 available),0
Digital Fortress,£58.00,94bb629a3f6dd00b,Books,£58.00,£58.00,£0.00,In stock (5 available),0
Booked,£17.49,b54d7416bb445989,Books,£17.49,£17.49,£0.00,In stock (5 available),0
"Blue Lily, Lily Blue (The Raven Cycle #3)",£34.13,ad5e078beceaeb4a,Books,£34.13,£34.13,£0.00,In stock (5 available),0
Approval Junkie: Adventures in Caring Too Much,£58.81,612369a5947a012e,Books,£58.81,£58.81,£0.00,In stock (5 available),0
An Abundance of Katherines,£10.00,f36d24c309e87e5b,Books,£10.00,£10.00,£0.00,In stock (5 available),0
The Passion of Dolssa,£28.32,011674f4a3834b8d,Books,£28.32,£28.32,£0.00,In stock (4 available),0
The Hunger Games (The Hunger Games #1),£29.85,6d2f70d9424f41a1,Books,£29.85,£29.85,£0.00,In stock (4 available),0
The Beast (Black Dagger Brotherhood #14),£46.08,8930013d06942df1,Books,£46.08,£46.08,£0.00,In stock (4 available),0
Some Women,£13.73,31f5bbf4974d29c9,Books,£13.73,£13.73,£0.00,In stock (4 available),0
Shopaholic Ties the Knot (Shopaholic #3),£48.39,38199c5d7da0c0ef,Books,£48.39,£48.39,£0.00,In stock (4 available),0
Paper and Fire (The Great Library #2),£49.45,ae884ac655d6ee3e,Books,£49.45,£49.45,£0.00,In stock (4 available),0
Outlander (Outlander #1),£19.67,5de4baa88061a77a,Books,£19.67,£19.67,£0.00,In stock (4 available),0
No One Here Gets Out Alive,£20.02,3a95f5a2df4ff921,Books,£20.02,£20.02,£0.00,In stock (4 available),0
Harry Potter and the Half-Blood Prince (Harry Potter #6),£48.75,73f4f87dd936ee5c,Books,£48.75,£48.75,£0.00,In stock (4 available),0
Atlas Shrugged,£26.58,78a4ac98191ac675,Books,£26.58,£26.58,£0.00,In stock (4 available),0
A New Earth: Awakening to Your Life's Purpose,£55.65,f6ae39568db1130e,Books,£55.65,£55.65,£0.00,In stock (4 available),0
When You Are Engulfed in Flames,£30.89,dab0196cd5fc8e5e,Books,£30.89,£30.89,£0.00,In stock (3 available),0
Voyager (Outlander #3),£21.07,7feac4000cbc5859,Books,£21.07,£21.07,£0.00,In stock (3 available),0
The Silkworm (Cormoran Strike #2),£23.05,f06039c29b5891fa,Books,£23.05,£23.05,£0.00,In stock (3 available),0
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",£55.55,91eb9605998a7c03,Books,£55.55,£55.55,£0.00,In stock (3 available),0
The Red Tent,£35.66,3c456328b04a8ee8,Books,£35.66,£35.66,£0.00,In stock (3 available),0
The Nanny Diaries (Nanny #1),£52.53,6263c1d2997b8ce0,Books,£52.53,£52.53,£0.00,In stock (3 available),0
The Lonely Ones,£43.59,cf2f27fdf94ba20e,Books,£43.59,£43.59,£0.00,In stock (3 available),0
The Husband's Secret,£52.51,ff6bb30dd0c482a6,Books,£52.51,£52.51,£0.00,In stock (3 available),0
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,63c0826ef59eae66,Books,£57.35,£57.35,£0.00,In stock (3 available),0
The Day the Crayons Came Home (Crayons),£26.33,b22362b434e8ee62,Books,£26.33,£26.33,£0.00,In stock (3 available),0
The Complete Poems,£41.32,23707d3ddf14a999,Books,£41.32,£41.32,£0.00,In stock (3 available),0
The Book of Basketball: The NBA According to The Sports Guy,£44.84,08decd9664e5d56e,Books,£44.84,£44.84,£0.00,In stock (3 available),0
The Blind Side: Evolution of a Game,£53.71,cd3dcd83bb002e78,Books,£53.71,£53.71,£0.00,In stock (3 available),0
Something Borrowed (Darcy & Rachel #1),£48.96,ac27ab4bcd9c492e,Books,£48.96,£48.96,£0.00,In stock (3 available),0
"Saga, Volume 3 (Saga (Collected Editions) #3)",£21.57,7b870bf85d01c2dc,Books,£21.57,£21.57,£0.00,In stock (3 available),0
Life Without a Recipe,£59.04,c53d9fefcda371e9,Books,£59.04,£59.04,£0.00,In stock (3 available),0
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",£55.50,190fbebbf798c31a,Books,£55.50,£55.50,£0.00,In stock (3 available),0
Lady Renegades (Rebel Belle #3),£53.04,16e843e6b853cc2f,Books,£53.04,£53.04,£0.00,In stock (3 available),0
Into the Wild,£56.70,a7c3f1010d64799a,Books,£56.70,£56.70,£0.00,In stock (3 available),0
Inferno (Robert Langdon #4),£41.00,6c4646d90b60a56c,Books,£41.00,£41.00,£0.00,In stock (3 available),0
Gratitude,£26.66,c300cc9326592b65,Books,£26.66,£26.66,£0.00,In stock (3 available),0
Gone Girl,£37.60,d5c588b6f9c015e4,Books,£37.60,£37.60,£0.00,In stock (3 available),0
Fifty Shades Freed (Fifty Shades #3),£15.36,ed813a848580ba50,Books,£15.36,£15.36,£0.00,In stock (3 available),0
Disrupted: My Misadventure in the Start-Up Bubble,£15.28,81372abc86f65c79,Books,£15.28,£15.28,£0.00,In stock (3 available),0
Dead Wake: The Last Crossing of the Lusitania,£39.24,04d858cdeeee0da4,Books,£39.24,£39.24,£0.00,In stock (3 available),0
Dark Places,£23.90,66937c669c4da072,Books,£23.90,£23.90,£0.00,In stock (3 available),0
Crazy Rich Asians (Crazy Rich Asians #1),£49.13,c9782ad2a0ed9331,Books,£49.13,£49.13,£0.00,In stock (3 available),0
Breaking Dawn (Twilight #4),£35.28,bbfc4a3b7b6c94a0,Books,£35.28,£35.28,£0.00,In stock (3 available),0
Brave Enough,£51.32,fd2337c1b73b686e,Books,£51.32,£51.32,£0.00,In stock (3 available),0
Blink: The Power of Thinking Without Thinking,£21.74,0bbc48294707ba96,Books,£21.74,£21.74,£0.00,In stock (3 available),0
Between Shades of Gray,£20.79,155e42df837ee5ff,Books,£20.79,£20.79,£0.00,In stock (3 available),0
Beautiful Creatures (Caster Chronicles #1),£21.55,5439bae708bca198,Books,£21.55,£21.55,£0.00,In stock (3 available),0
Annie on My Mind,£36.83,7bf87402413c27ff,Books,£36.83,£36.83,£0.00,In stock (3 available),0
A Visit from the Goon Squad,£14.08,5dbd6ec4e154ad2f,Books,£14.08,£14.08,£0.00,In stock (3 available),0
A Heartbreaking Work of Staggering Genius,£54.29,c9770bb1d5a492a0,Books,£54.29,£54.29,£0.00,In stock (3 available),0
Life,£31.58,637e5a45062aa548,Books,£31.58,£31.58,£0.00,In stock (2 available),0
H is for Hawk,£57.42,b6d3f4f4ee1f6069,Books,£57.42,£57.42,£0.00,In stock (2 available),0
"Fruits Basket, Vol. 2 (Fruits Basket #2)",£11.64,c0db71f6bb14db11,Books,£11.64,£11.64,£0.00,In stock (2 available),0
While You Were Mine,£41.32,8ceb5c6aed2c5f8b,Books,£41.32,£41.32,£0.00,In stock (1 available),0
Ways of Seeing,£39.51,66a4e422b212726a,Books,£39.51,£39.51,£0.00,In stock (1 available),0
Travels with Charley: In Search of America,£57.82,0268f149d014b389,Books,£57.82,£57.82,£0.00,In stock (1 available),0
The Zombie Room,£19.69,9c96cd1329fbd82d,Books,£19.69,£19.69,£0.00,In stock (1 available),0
The Tumor,£41.56,6514add13c82b115,Books,£41.56,£41.56,£0.00,In stock (1 available),0
The Silent Wife,£12.34,b78deb463531d078,Books,£12.34,£12.34,£0.00,In stock (1 available),0
The Hook Up (Game On #1),£36.29,6e473eff459e809f,Books,£36.29,£36.29,£0.00,In stock (1 available),0
The Haters,£27.89,fff8a057a40c4a60,Books,£27.89,£27.89,£0.00,In stock (1 available),0
The Girl You Lost,£12.29,4280ac3eab57aa5d,Books,£12.29,£12.29,£0.00,In stock (1 available),0
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",£46.96,3cdca3b4a93980f5,Books,£46.96,£46.96,£0.00,In stock (1 available),0
Off Sides (Off #1),£39.45,b6f1cfadc4dd79d4,Books,£39.45,£39.45,£0.00,In stock (1 available),0
Kitchens of the Great Midwest,£57.20,06f6a57a6d532844,Books,£57.20,£57.20,£0.00,In stock (1 available),0
Jane Eyre,£38.43,8d390a1fc3133d06,Books,£38.43,£38.43,£0.00,In stock (1 available),0
"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28,72e6fbf4f6382557,Books,£40.28,£40.28,£0.00,In stock (1 available),0
Deep Under (Walker Security #1),£47.09,0072b94dfa30608e,Books,£47.09,£47.09,£0.00,In stock (1 available),0
Bright Lines,£39.07,230ac636ea0ea415,Books,£39.07,£39.07,£0.00,In stock (1 available),0
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65,099fae4a0705d63b,Books,£34.65,£34.65,£0.00,In stock (1 available),0
A Spy's Devotion (The Regency Spies of London #1),£16.97,19fec36a1dfb4c16,Books,£16.97,£16.97,£0.00,In stock (1 available),0
"1,000 Places to See Before You Die",£26.08,228ba5e7577e1d49,Books,£26.08,£26.08,£0.00,In stock (1 available),0
